id_puesto,titulo_puesto,descripcion_puesto,area_del_puesto,modalidad_de_trabajo,horas_semanales,fecha_inicio,duracion_del_puesto,sueldo_aproximado
PSTBIO008,Becario en biología marina,"Asistencia en recolección de muestras de agua y organismos marinos.",Biología Marina,Presencial,25,2025-08-12,18,1250
PSTBIO009,Ilustrador biológico científico,"Elaboración de material gráfico sobre anatomía y estructuras celulares.",Diseño y Educación,Remoto,15,2025-08-22,10,850
PSTBIO010,Asistente de investigación en neurobiología,"Apoyo en experimentos con cultivos neuronales y análisis de datos.",Neurociencia,Híbrido,20,2025-09-05,20,1350
PSTEST001,Asistente de análisis estadístico,"Procesamiento de datos y generación de reportes con R y Python.",Ciencia de Datos,Remoto,20,2025-08-10,20,1300
PSTEST002,Becario en bioestadística,"Colaboración en estudios médicos y análisis de ensayos clínicos.",Salud Pública,Híbrido,25,2025-08-01,24,1450
PSTEST003,Analista junior de encuestas,"Procesamiento y visualización de resultados de encuestas nacionales.",Estudios Sociales,Remoto,15,2025-07-28,12,1150
PSTEST004,Auxiliar en econometría aplicada,"Aplicación de modelos estadísticos a datos económicos.",Finanzas y Economía,Híbrido,20,2025-08-05,16,1350
PSTEST005,Asistente en investigación de mercados,"Análisis de comportamiento de consumidores y preferencias.",Marketing y Negocios,Remoto,20,2025-08-20,18,1250
PSTEST006,Modelador de riesgo junior,"Construcción de modelos probabilísticos para análisis de riesgo.",Seguros y Finanzas,Presencial,30,2025-09-01,24,1500
PSTEST007,Encargado de visualización de datos,"Curación de dashboards interactivos con herramientas como Power BI.",Business Intelligence,Remoto,15,2025-07-30,10,1100
PSTEST008,Estadístico en investigación agrícola,"Análisis de productividad, climas y cosechas en estudios agrarios.",Agroindustria,Presencial,25,2025-08-15,20,1400
PSTEST009,Divulgador en estadística aplicada,"Creación de contenido educativo sobre análisis de datos reales.",Educación y Formación,Remoto,15,2025-08-22,8,850
PSTEST010,Asistente en auditoría estadística,"Evaluación y muestreo en procesos de calidad organizacional.",Control de Calidad,Híbrido,20,2025-08-18,16,1200
PSTISW001,Desarrollador backend junior,"Implementación de APIs REST usando Node.js y bases de datos SQL.",Desarrollo de Software,Remoto,30,2025-08-01,20,1600
PSTISW002,Tester QA manual,"Elaboración y ejecución de casos de prueba en entornos web.",Calidad de Software,Híbrido,25,2025-08-15,16,1400
PSTISW003,Asistente en DevOps,"Colaboración en la automatización de pipelines de CI/CD con Jenkins y Docker.",Infraestructura y DevOps,Remoto,20,2025-08-05,18,1500
PSTISW004,Desarrollador frontend en prácticas,"Implementación de interfaces responsivas con React y Tailwind CSS.",Desarrollo Web,Remoto,20,2025-08-10,16,1300
PSTISW005,Apoyo en documentación técnica,"Redacción y organización de documentación de sistemas y APIs.",Documentación Técnica,Híbrido,15,2025-07-30,12,950
PSTISW006,Programador en pruebas automatizadas,"Desarrollo de scripts de testing con Selenium y PyTest.",Control de Calidad,Híbrido,20,2025-08-20,16,1350
PSTISW007,Becario en arquitectura de software,"Soporte en diseño de estructuras modulares y patrones de arquitectura.",Diseño de Software,Presencial,25,2025-08-12,20,1450
PSTISW008,Auxiliar en seguridad de aplicaciones,"Revisión de código para vulnerabilidades comunes y pruebas de penetración.",Ciberseguridad,Remoto,20,2025-08-25,18,1500
PSTISW009,Desarrollador móvil junior,"Apoyo en desarrollo de apps Android con Kotlin y Jetpack Compose.",Desarrollo Mobile,Híbrido,30,2025-09-01,16,1600
PSTISW010,Colaborador en accesibilidad web,"Evaluación de sitios web según estándares de accesibilidad (WCAG).",Diseño Inclusivo,Remoto,15,2025-08-28,10,1000
PSTCSC001,Asistente en visión por computadora,"Colaboración en procesamiento de imágenes y detección de objetos.",Inteligencia Artificial,Remoto,20,2025-08-10,18,1500
PSTCSC002,Investigador en teoría de algoritmos,"Análisis de complejidad y optimización de estructuras algorítmicas.",Investigación en Computación,Híbrido,25,2025-08-01,20,1450
PSTCSC003,Desarrollador de videojuegos 2D,"Creación de mecánicas básicas en motores como Unity o Godot.",Desarrollo de Juegos,Remoto,30,2025-07-25,16,1400
PSTCSC004,Becario en computación cuántica,"Estudio y simulación de circuitos cuánticos con Qiskit.",Computación Cuántica,Remoto,15,2025-08-15,12,1300
PSTCSC005,Asistente de investigación en grafos,"Soporte en problemas de rutas, redes y análisis topológico.",Ciencia Computacional,Híbrido,20,2025-08-20,16,1350
PSTCSC006,Programador en sistemas operativos,"Implementación de módulos en kernels de código abierto.",Sistemas Operativos,Presencial,25,2025-09-01,24,1500
PSTCSC007,Apoyo en diseño de lenguajes de programación,"Participación en pruebas y mejoras de compiladores.",Teoría de Lenguajes,Remoto,20,2025-08-12,20,1450
PSTCSC008,Desarrollador de asistentes virtuales,"Creación de bots con NLP y frameworks como Rasa o Dialogflow.",Inteligencia Artificial,Remoto,20,2025-08-22,16,1500
PSTCSC009,Colaborador en computación gráfica,"Diseño de escenas y shaders con OpenGL y WebGL.",Computación Gráfica,Híbrido,25,2025-08-18,20,1450
PSTCSC010,Investigador en redes neuronales profundas,"Entrenamiento y evaluación de modelos de deep learning.",Aprendizaje Automático,Remoto,20,2025-08-08,24,1600
PSTINF001,Asistente en administración de servidores,"Soporte en mantenimiento y configuración de servidores Linux.",Redes y Sistemas,Presencial,25,2025-08-01,20,1350
PSTINF002,Técnico en soporte TI,"Atención a usuarios, configuración de redes y resolución de fallos.",Tecnologías de la Información,Presencial,30,2025-08-10,16,1300
PSTINF003,Auxiliar en análisis de redes,"Monitoreo de tráfico y detección de anomalías.",Ciberseguridad,Híbrido,20,2025-08-15,18,1400
PSTINF004,Desarrollador de sistemas embebidos,"Programación de microcontroladores con C/C++.",Electrónica y Sistemas,Presencial,20,2025-08-20,20,1450
PSTINF005,Practicante en soporte de infraestructura cloud,"Implementación de recursos en AWS y Azure.",Computación en la Nube,Remoto,20,2025-08-12,16,1500
PSTINF006,Becario en automatización de procesos,"Creación de scripts para tareas repetitivas en entornos corporativos.",Automatización de Procesos,Remoto,15,2025-07-30,12,1250
PSTINF007,Auditor informático junior,"Evaluación de sistemas y cumplimiento de políticas de TI.",Seguridad Informática,Híbrido,25,2025-08-05,20,1350
PSTINF008,Desarrollador de scripts administrativos,"Automatización de tareas con PowerShell y Bash.",Administración de Sistemas,Remoto,15,2025-08-22,10,1200
PSTINF009,Colaborador en monitoreo de redes,"Uso de herramientas como Wireshark y Nagios para análisis de red.",Infraestructura TI,Presencial,20,2025-09-01,16,1300
PSTINF010,Apoyo en implementación de ERP,"Colaboración en el despliegue y personalización de sistemas ERP.",Sistemas Empresariales,Híbrido,25,2025-08-28,20,1400
PSTIA001,Asistente en entrenamiento de modelos IA,"Apoyo en el procesamiento de datos y ajuste de hiperparámetros para modelos supervisados.",Machine Learning,Remoto,25,2025-08-01,18,1500
PSTIA002,Curador de datasets para IA,"Recolección, limpieza y anotación de datos para entrenamiento de modelos.",Gestión de Datos,Remoto,20,2025-08-12,16,1350
PSTIA003,Ingeniero de prompts junior,"Redacción, testeo y optimización de prompts para LLMs.",Procesamiento de Lenguaje Natural,Remoto,15,2025-08-15,12,1200
PSTIA004,Asistente de IA generativa,"Implementación básica de modelos de generación de texto e imágenes.",Modelos Generativos,Híbrido,20,2025-08-20,20,1450
PSTIA005,Apoyo en ética y gobernanza de IA,"Revisión de sesgos y elaboración de reportes sobre implicancias sociales de modelos IA.",IA Responsable,Remoto,15,2025-08-05,12,1100
PSTIA006,Becario en visión por computadora,"Etiquetado de imágenes y soporte en clasificación y detección de objetos.",Visión Computacional,Presencial,20,2025-08-10,16,1400
PSTIA007,Desarrollador junior de asistentes conversacionales,"Implementación de bots usando NLU/NLP y flujos conversacionales.",Chatbots y NLP,Remoto,20,2025-08-22,18,1350
PSTIA008,Investigador de apoyo en robótica inteligente,"Colaboración en integración de sensores con modelos de IA para movimiento autónomo.",Robótica e IA,Híbrido,25,2025-09-01,24,1600
PSTIA009,Tester de modelos IA,"Validación y prueba de modelos en distintos contextos de producción.",MLOps y Validación,Híbrido,20,2025-08-28,16,1400
PSTIA010,Analista junior de sesgos algorítmicos,"Revisión de fairness, auditabilidad y decisiones en sistemas inteligentes.",Auditoría de IA,Remoto,15,2025-08-18,10,1150
PSTDAT001,Asistente en construcción de pipelines de datos,"Soporte en el diseño de flujos ETL con Airflow y Python.",Arquitectura de Datos,Híbrido,25,2025-08-01,20,1450
PSTDAT002,Analista de calidad de datos junior,"Verificación de integridad, duplicados y anomalías en datasets.",Calidad de Datos,Remoto,20,2025-08-10,16,1350
PSTDAT003,Soporte en integración de fuentes de datos,"Unificación de datos provenientes de APIs, archivos y bases relacionales.",Integración de Datos,Remoto,20,2025-08-15,18,1400
PSTDAT004,Becario en modelado de datos,"Normalización y documentación de esquemas conceptuales y lógicos.",Diseño de Bases de Datos,Presencial,20,2025-08-20,20,1300
PSTDAT005,Auxiliar de migración de bases de datos,"Migración de sistemas heredados a entornos en la nube.",Ingeniería de Sistemas,Remoto,25,2025-09-01,24,1550
PSTDAT006,Documentador técnico en proyectos de datos,"Creación de manuales y documentación de estructuras y procesos.",Gestión de Proyectos TI,Remoto,15,2025-07-30,10,1000
PSTDAT007,Ayudante en implementación de lagos de datos,"Apoyo en configuración de entornos de almacenamiento masivo.",Big Data,Híbrido,20,2025-08-25,20,1400
PSTDAT008,Especialista junior en SQL,"Desarrollo de queries y vistas para reportes operativos.",Base de Datos Relacional,Remoto,20,2025-08-05,16,1300
PSTDAT009,Monitoreo de flujos de datos,"Supervisión de pipelines productivos y manejo de logs.",DataOps,Híbrido,25,2025-08-12,18,1400
PSTDAT010,Auxiliar de gobernanza de datos,"Gestión de políticas de acceso, metadata y trazabilidad.",Seguridad y Compliance,Remoto,15,2025-08-18,12,1250
PSTMEC001,Asistente de diseño mecánico,"Apoyo en modelado 3D con SolidWorks y revisión de planos técnicos.",Diseño Industrial,Presencial,25,2025-08-01,20,1450
PSTMEC002,Becario en mantenimiento preventivo,"Soporte en planificación y ejecución de rutinas de mantenimiento mecánico.",Mantenimiento Industrial,Presencial,30,2025-08-15,16,1400
PSTMEC003,Auxiliar en laboratorio de mecánica de fluidos,"Montaje de equipos, mediciones y análisis de resultados.",Ingeniería de Fluidos,Híbrido,20,2025-08-10,18,1300
PSTMEC004,Soporte en análisis de vibraciones mecánicas,"Uso de sensores y software para evaluar condiciones de maquinaria.",Análisis de Máquinas,Presencial,20,2025-08-22,16,1350
PSTMEC005,Asistente de producción industrial,"Supervisión de procesos de manufactura y control de calidad.",Producción y Manufactura,Presencial,30,2025-09-01,24,1500
PSTMEC006,Colaborador en diseño de sistemas HVAC,"Diseño de sistemas de ventilación y refrigeración industrial.",Ingeniería Térmica,Híbrido,20,2025-08-05,20,1450
PSTMEC007,Ayudante en robótica industrial,"Montaje y programación básica de brazos robóticos.",Automatización Industrial,Presencial,25,2025-08-28,18,1500
PSTMEC008,Practicante en análisis estructural,"Simulación de cargas y esfuerzos con software FEA.",Mecánica de Estructuras,Remoto,20,2025-08-12,16,1400
PSTMEC009,Asistente en proyectos de energías renovables,"Apoyo en sistemas mecánicos aplicados a energía solar y eólica.",Ingeniería Energética,Híbrido,20,2025-08-18,20,1350
PSTMEC010,Operador en simuladores mecánicos,"Pruebas en banco y simulaciones de desempeño de prototipos.",Prototipado y Simulación,Presencial,25,2025-08-25,18,1300
PSTELE001,Técnico en diseño de circuitos PCB,"Soporte en diseño, ruteo y validación de placas electrónicas con Altium Designer.",Electrónica de Diseño,Presencial,25,2025-08-05,20,1500
PSTELE002,Asistente en desarrollo de firmware,"Programación básica de microcontroladores en C/C++ para sistemas embebidos.",Firmware y Hardware,Presencial,30,2025-08-15,16,1450
PSTELE003,Colaborador en pruebas de compatibilidad electromagnética,"Apoyo en mediciones de interferencia y blindaje de equipos electrónicos.",Electromagnetismo Aplicado,Presencial,20,2025-08-10,18,1400
PSTELE004,Apoyo en automatización con PLC,"Implementación de programas en controladores Siemens y monitoreo de procesos.",Automatización Industrial,Híbrido,25,2025-08-20,20,1550
PSTELE005,Becario en electrónica de potencia,"Soporte en simulaciones y diseño de convertidores AC/DC y DC/DC.",Energía Electrónica,Remoto,20,2025-08-28,18,1450
PSTELE006,Técnico en instrumentación industrial,"Calibración y mantenimiento de sensores, transductores y equipos de medición.",Control e Instrumentación,Presencial,30,2025-08-01,24,1500
PSTELE007,Desarrollador de sistemas IoT junior,"Programación de sensores conectados con WiFi y Bluetooth para prototipos inteligentes.",Internet de las Cosas,Híbrido,20,2025-09-01,16,1400
PSTELE008,Investigador de apoyo en dispositivos médicos,"Colaboración en diseño de equipos electrónicos para uso clínico.",Bioelectrónica,Híbrido,20,2025-08-25,20,1450
PSTELE009,Tester de hardware electrónico,"Evaluación de prototipos, pruebas de estrés y documentación de fallos.",Validación Electrónica,Presencial,25,2025-08-18,18,1350
PSTELE010,Asistente en telecomunicaciones digitales,"Configuración de equipos de transmisión, routers y redes inalámbricas.",Sistemas de Comunicación,Híbrido,20,2025-08-08,20,1400
PSTIND001,Analista junior de mejora continua,"Identificación de cuellos de botella y optimización de procesos con Lean.",Producción y Procesos,Presencial,30,2025-08-01,20,1500
PSTIND002,Apoyo en logística y cadena de suministro,"Gestión de inventarios, rutas de distribución y abastecimiento.",Logística Empresarial,Híbrido,25,2025-08-12,16,1450
PSTIND003,Técnico en gestión de calidad,"Soporte en implementación de normas ISO y auditorías internas.",Gestión de Calidad,Presencial,30,2025-08-05,18,1500
PSTIND004,Becario en análisis de tiempos y movimientos,"Observación y medición de actividades operativas para balanceo de líneas.",Ingeniería de Métodos,Presencial,20,2025-08-20,20,1300
PSTIND005,Colaborador en diseño de layout industrial,"Elaboración de diagramas de distribución de planta con software CAD.",Ingeniería de Planta,Híbrido,20,2025-08-28,16,1350
PSTIND006,Asistente en planificación de producción,"Carga de órdenes y seguimiento a cronogramas en sistemas ERP.",Planeamiento de Producción,Remoto,20,2025-09-01,20,1400
PSTIND007,Auxiliar en sostenibilidad y eficiencia energética,"Apoyo en diagnósticos de consumo y planes de reducción de huella.",Gestión Ambiental Industrial,Híbrido,25,2025-08-10,24,1450
PSTIND008,Practicante de ergonomía aplicada,"Evaluación de condiciones laborales y recomendaciones en puestos de trabajo.",Seguridad y Salud Ocupacional,Presencial,20,2025-08-18,16,1300
PSTIND009,Consultor junior en transformación digital,"Apoyo en implementación de herramientas digitales en procesos productivos.",Industria 4.0,Híbrido,20,2025-08-22,20,1500
PSTIND010,Analista de costos y presupuestos,"Determinación de costos directos e indirectos para propuestas de producción.",Costos Industriales,Remoto,15,2025-08-08,18,1250
PSTCIV001,Asistente de topografía y geodesia,"Levantamiento de datos en campo con estación total y GPS diferencial.",Obras Civiles,Presencial,30,2025-08-01,20,1500
PSTCIV002,Becario en diseño estructural,"Apoyo en análisis de cargas y cálculo de elementos con SAP2000 o ETABS.",Cálculo Estructural,Híbrido,20,2025-08-15,18,1450
PSTCIV003,Colaborador en supervisión de obras civiles,"Control de avance de obra, materiales y seguridad en proyectos de construcción.",Supervisión de Proyectos,Presencial,30,2025-08-05,24,1550
PSTCIV004,Asistente en planificación de proyectos,"Elaboración de cronogramas con MS Project y control de Gantt.",Gestión de Proyectos,Híbrido,25,2025-08-20,20,1400
PSTCIV005,Técnico en laboratorio de suelos y materiales,"Realización de ensayos de resistencia y granulometría.",Ingeniería Geotécnica,Presencial,20,2025-08-12,16,1300
PSTCIV006,Auxiliar en diseño vial,"Apoyo en trazado geométrico y señalización de vías urbanas y rurales.",Ingeniería de Transportes,Híbrido,25,2025-08-25,18,1450
PSTCIV007,Ayudante en hidráulica y saneamiento,"Diseño de redes de agua potable y alcantarillado.",Hidráulica Urbana,Presencial,20,2025-08-08,20,1350
PSTCIV008,Inspector técnico de seguridad,"Control de normas técnicas y reglamentos de construcción.",Normativa y Seguridad,Presencial,20,2025-08-28,16,1400
PSTCIV009,Modelador BIM junior,"Creación de modelos 3D con Revit y coordinación interdisciplinaria.",BIM y Coordinación Digital,Remoto,20,2025-09-01,20,1500
PSTCIV010,Asistente en restauración de patrimonio,"Colaboración en rehabilitación de estructuras históricas y estudios de conservación.",Arquitectura Patrimonial,Presencial,25,2025-08-18,20,1300
PSTBME001,Pasante de ingeniería biomédica en campo hospitalario,"Apoyo en control de especificaciones técnicas y entrega de equipamiento médico.",Ingeniería Clínica,Presencial,30,2025-08-01,16,1200
PSTBME002,Pasante técnico biomédico,"mantenimiento y calibración de dispositivos médicos en centros de salud.",Mantenimiento Biomédico,Presencial,25,2025-08-15,16,1300
PSTBME003,Pasante en proyectos de diálisis,"Soporte en coordinación técnica y logística en programas de hemodiálisis.",Servicio Clínico,Presencial,25,2025-08-10,14,1250
PSTBME004,Pasante en validación de dispositivos,"Colaboración en pruebas clínicas y cumplimiento normativo sanitario.",Validación Clínica,Presencial,20,2025-08-20,12,1300
PSTBME005,Pasante en datos clínicos,"Análisis de registros y reportes para estudios de efectividad de equipos médicos.",Análisis de Datos Clínicos,Remoto,20,2025-09-01,18,1350
PSTBME006,Pasante en software médico,"Desarrollo de software para imágenes médicas y pruebas de funcionalidad.",Software Biomédico,Remoto,20,2025-08-05,16,1300
PSTBME007,Pasante en aseguramiento de calidad,"Soporte en auditorías internas FDA/ISO y control documental.",Calidad Regulación,Remoto,20,2025-08-28,16,1350
PSTBME008,Pasante en usabilidad de equipos médicos,"Pruebas con usuarias/os en contextos clínicos para mejorar interfaz.",Usabilidad Médica,Presencial,15,2025-08-18,10,1150
PSTBME009,Pasante en gestión regulatoria biomédica,"Preparación de archivos y documentos para registros sanitarios.",Regulación Sanitaria,Remoto,15,2025-08-12,14,1200
PSTBME010,Pasante en tecnología 3D para dispositivos médicos,"Desarrollo de férulas y prótesis con impresión 3D en proyecto con UPM.",Bioingeniería,Presencial,20,2025-09-01,20,1400
PSTAMB001,Practicante en ingeniería ambiental de campo,"Recolección y análisis de muestras de agua y suelos.",Monitoreo Ambiental,Presencial,30,2025-08-01,12,1200
PSTAMB002,Pasante en proyectos de remediación,"Apoyo en diseño y seguimiento de sistemas para descontaminación de suelos.",Remediación Ambiental,Híbrido,25,2025-08-10,16,1300
PSTAMB003,Practicante en laboratorio de agua,"Análisis físico-químico de agua potable y residual.",Control de Calidad de Agua,Presencial,25,2025-08-15,16,1350
PSTAMB004,Pasante en informes de sostenibilidad,"Preparación de reportes ambientales y de impacto.",Regulación Ambiental,Remoto,20,2025-08-20,14,1250
PSTAMB005,Practicante en modelado hidráulico,"Aplicación de modelos de simulación en proyectos de cuencas costeras.",Ingeniería Hidrológica,Híbrido,25,2025-08-05,12,1300
PSTAMB006,Pasante en muestreo ambiental,"Trabajo de campo tomando muestras de aire, suelo y agua.",Monitoreo de Campo,Presencial,30,2025-08-28,16,1400
PSTAMB007,Pasante en estadística aplicada ecológica,"Análisis cuantitativo de biodiversidad y variables ecotoxicológicas.",Estadística Ambiental,Remoto,20,2025-09-01,14,1250
PSTAMB008,Practicante en cumplimiento ambiental,"Auditorías para verificación de permisos y normativa.",Compliance Ambiental,Remoto,20,2025-08-12,12,1200
PSTAMB009,Pasante en sistemas de tratamiento,"Optimización de procesos de tratamiento de aguas residuales.",Tratamiento de Aguas,Presencial,25,2025-08-18,18,1300
PSTAMB010,Practicante en SIG ambiental,"Creación de mapas y análisis geoespacial con QGIS.",GIS Ambiental,Híbrido,20,2025-08-22,14,1250
PSTTEL001,Practicante en redes móviles 4G/5G,"Soporte en configuración y monitoreo RAN de redes móviles.",Redes Inalámbricas,Híbrido,30,2025-08-01,24,1600
PSTTEL002,Soporte técnico en conectividad,"Atención y resolución de incidencias en redes empresariales.",Soporte Telecom,Presencial,30,2025-08-10,20,1450
PSTTEL003,Practicante de campo en antenas,"Instalación y pruebas de antenas y estaciones base.",Campo Telecom,Presencial,30,2025-08-15,16,1500
PSTTEL004,Pasantía en fibra óptica,"Instalación y mantenimiento de redes de fibra óptica terrestres/submarinas.",Fibra Óptica,Presencial,25,2025-08-05,20,1400
PSTTEL005,Practicante en análisis de red,"Medición de rendimiento y uso de herramientas como Wireshark.",Análisis de Red Remoto,Remoto,20,2025-08-20,18,1350
PSTTEL006,Practicante en planificación de espectro,"Soporte en asignación de bandas de frecuencia y regulaciones.",Planificación de Espectro,Híbrido,20,2025-09-01,18,1450
PSTTEL007,Practicante en VoIP,"Configuración e implementación de sistemas de comunicación de voz sobre IP.",VoIP,Remoto,20,2025-08-12,16,1350
PSTTEL008,Practicante en gestión de proyectos telecom,"Apoyo en cronogramas y documentación de proyectos.",Project Management,Híbrido,25,2025-08-18,20,1400
PSTTEL009,Pasantía en testing de telecomunicaciones,"Pruebas de aceptación de hardware y sistemas telecom.",QA Telecom,Presencial,25,2025-08-22,18,1450
PSTTEL010,Practicante en sistemas de microondas,"Soporte en diseño e implementación de enlaces microondas.",Microondas,Presencial,25,2025-08-28,20,1500
PSTSIS001,Ingeniero Junior de TI,"Implementación y mantenimiento de infraestructura de TI; redes, servidores y soporte a usuarios.",Infraestructura TI,Presencial,40,2025-08-01,24,1800
PSTSIS002,Desarrollador de software junior,"Participación en proyectos de desarrollo web con JavaScript/Angular y .NET.",Desarrollo Web,Híbrido,40,2025-08-15,18,1700
PSTSIS003,Analista de transformación tecnológica,"Apoyo en proyectos de modernización de sistemas y automatización de procesos.",Transformación Digital,Híbrido,30,2025-08-05,20,1600
PSTSIS004,Ingeniero de control de proyectos,"Seguimiento de cronogramas y reporte de horas y estado de proyectos TI.",Project Management,Presencial,40,2025-08-10,22,1750
PSTSIS005,Administrador de bases de datos junior,"Manejo y optimización de SQL Server en entornos corporativos.",DBA,Híbrido,30,2025-08-20,20,1650
PSTSIS006,Especialista en seguridad informática,"Soporte en implementación de políticas y monitoreo de vulnerabilidades.",Ciberseguridad,Remoto,35,2025-09-01,24,1700
